team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,defTotalCatchAllowed,defTotalDeflections,defTotalForcedFum,defTotalFumRec,defTotalInts,defTotalIntReturnYds,defTotalSacks,defTotalSafeties,defTotalTDs,defTotalTackles
Cardinals,ARI,6,SS,551027271,Kamren Curl,7,0,225,3,13,57.00,4,11,2,1,3,283,1.00,0,1,34.00
Cardinals,ARI,6,ROLB,551029309,Jahlani Tavai,8,4,9649,48,7,13.00,1,0,0,0,0,0,1.00,0,0,11.00
Cardinals,ARI,6,RE,551028722,Ogbonnia Okoronkwo,9,0,9012,54,7,26.00,1,2,2,0,0,0,3.00,0,0,14.00
Cardinals,ARI,6,MLB,551029194,Roquan Smith,9,0,9061,0,13,68.00,6,8,3,1,5,101,1.50,0,1,35.00
Cardinals,ARI,6,SS,551027430,Terrell Edmunds,9,0,8874,38,12,33.00,6,7,1,0,1,5,2.50,0,0,22.00
Cardinals,ARI,6,DT,551029640,Leonard Williams,12,0,7381,98,4,5.00,0,0,0,0,0,0,1.00,0,0,3.00
Chargers,LAC,7,DT,551029274,Sheldon Greenberry,0,0,10351,90,7,28.00,0,0,0,0,0,0,7.00,0,0,14.00
Chargers,LAC,7,MLB,551028345,Jason Purvis,1,0,10356,21,12,38.00,10,4,1,0,2,19,2.50,0,0,24.00
Chargers,LAC,7,SS,551027867,Jaden Hicks,3,0,10107,22,4,5.00,0,0,0,0,0,0,0.00,0,0,5.00
Chargers,LAC,7,ROLB,551027110,Jaylon Carlies,3,0,10028,57,2,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Chargers,LAC,7,DT,551028666,Jer'Zhan Newton,3,0,10193,95,9,33.00,0,1,1,1,0,0,6.00,0,0,18.00
Chargers,LAC,7,LE,551027461,Jonah Elliss,3,0,10066,9,7,11.00,0,0,0,1,0,0,1.50,0,0,8.00
Chargers,LAC,7,FS,551027354,Marcellas Dial,3,0,10056,27,4,4.00,0,0,0,0,0,0,0.00,0,0,4.00
Chargers,LAC,7,CB,551028553,Cameron Mitchell,4,0,2315,29,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Chargers,LAC,7,LE,551029676,Tyree Wilson,4,0,2482,98,8,25.00,1,1,0,0,0,0,3.00,0,0,19.00
